Designator,Mid X,Mid Y,Rotation,Layer
C1,106.172,-82.042,0.0,top
C2,133.096,-59.69,270.0,top
D1,142.8602,-68.0428,270.0,top
D10,171.4572,-67.6884,0.0,top
D11,175.7172,-83.2104,0.0,top
D12,167.7572,-105.9116,180.0,top
D13,149.9072,-96.8884,0.0,top
D14,136.8428,-90.2884,0.0,top
D15,133.5572,-92.0116,180.0,top
D17,143.5884,-68.5428,90.0,top
D2,157.3,-61.7,270.0,top
D3,170.9,-66.8782,0.0,top
D4,176.4,-81.2782,0.0,top
D5,169.8782,-96.2,90.0,top
D6,155.7064,-101.7375,90.0,top
D7,142.24,-95.649,0.0,top
D8,136.144,-81.0782,0.0,top
D9,157.6884,-62.1428,90.0,top
Q2,117.414,-77.8,0.0,top
R1,124.46,-86.36,180.0,top
RV1,123.19,-82.78965,90.0,top
U1,118.745,-53.1625,0.0,top
U2,124.206,-91.44,270.0,top
U4,107.406,-92.29,270.0,top
