Designator,Footprint,Quantity,Value,LCSC Part #
C1,CA45-B-16V-33uF-K,1,33uF,C2976922
C2,805,1,0.1uF,C126469
"ENC_CONN1, ENC_CONN2, ENC_CONN3, ENC_CONN4",ZH1.5-6,4,Conn_01x06_Male,C722926
J1,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Female,C225502
"MC1, MC2, MC3, MC4",DRV8876,16,DRV8876,C2832269
NMOS1,SOT-23,1,Q_NMOS_DGS,C5337204
ProS3,ProS3_TH (1),4,ProS3,C2883486
"R1, R2",805,2,4.7k,C17673
R4,805,1,1K Ohms,C140870
R5,805,1,100K Ohms,C2961394
"TP+, TP-",PinHeader_1x01_P2.54mm_Vertical,2,TestPoint,C2906762
VoltDiv1,S7V8F3,1,~,C2685089
VoltSup1,DBV5_TEX,1,TPS3847085DBVR,C2068701
