Designator,Mid X,Mid Y,Rotation,Layer
C1,170.6,-60.8,90.0,top
C2,181.102,-70.866,0.0,top
ENC_CONN1,186.8656,-108.874,0.0,bottom
ENC_CONN2,138.2656,-109.124,180.0,bottom
ENC_CONN3,138.2656,-95.124,180.0,bottom
ENC_CONN4,186.8656,-94.874,0.0,bottom
IMU1,138.5406,-78.374,90.0,top
J1,186.8406,-80.824,180.0,bottom
J6,186.8656,-66.374,270.0,top
MC1,172.5156,-111.4737,180.0,bottom
MC2,153.2156,-111.4557,180.0,bottom
MC3,153.2156,-86.0915,0.0,bottom
MC4,172.5156,-86.0915,0.0,bottom
NMOS1,153.67,-62.484,0.0,top
ProS3,162.85,-92.4,0.0,top
R1,147.0,-76.0,0.0,top
R2,151.0,-76.0,180.0,top
R3,151.13,-67.056,270.0,top
R4,170.0,-60.5,270.0,top
R5,176.5,-66.0,180.0,top
Relay1,154.95,-64.285751,90.0,bottom
TOF_STEMMA_QT1,138.5406,-65.874,90.0,top
TP+,135.685,-86.995,0.0,top
TP-,140.335,-86.995,0.0,top
VoltDiv1,174.0,-62.0,0.0,bottom
VoltSup1,148.336,-62.484,0.0,top
